"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"225","TORNTPOWER","Torrent Power Limited",532779,"-1.05","1526.5","476631","2024-07-19","22:02:33","Power Generation & Distribution","2024-07-20 22:02:33.169789+05:30"
"226","AUROPHARMA","Aurobindo Pharma Limited",524804,"-0.42","1330.8","696142","2024-07-19","22:02:33","Pharmaceuticals","2024-07-20 22:02:33.169789+05:30"
"227","NATCOPHARM","Natco Pharma Limited",524816,"-2.94","1223.35","780589","2024-07-19","22:02:33","Pharmaceuticals","2024-07-20 22:02:33.169789+05:30"
"228","TATACONSUM","TATA Consumer Products Ltd",500800,"-0.45","1188","1385064","2024-07-19","22:02:33","Plantation & Plantation Products","2024-07-20 22:02:33.169789+05:30"
"229","TANLA","Tanla Solutions Limited",532790,"-2.31","970.1","1447885","2024-07-19","22:02:33","IT - Software","2024-07-20 22:02:33.169789+05:30"
"230","MARICO","Marico Limited",531642,"-2.37","668.65","929516","2024-07-19","22:02:33","Edible Oil","2024-07-20 22:02:33.169789+05:30"
"231","SUNTECK","Sunteck Realty Limited",512179,"-2.47","600.55","981547","2024-07-19","22:02:33","Realty","2024-07-20 22:02:33.169789+05:30"
"232","HBLPOWER","Hbl Power Systems Limited",517271,"-4.93","590.05","3086557","2024-07-19","22:02:33","Auto Ancillaries","2024-07-20 22:02:33.169789+05:30"
"233","INDIACEM","The India Cements Limited",530005,"0.67","347.05","13212166","2024-07-19","22:02:33","Cement","2024-07-20 22:02:33.169789+05:30"
"234","IDBI","Idbi Bank Limited",500116,"-3.62","88.86","34354226","2024-07-19","22:02:33","Banks","2024-07-20 22:02:33.169789+05:30"
"235","IOB","Indian Overseas Bank",532388,"-4.45","64.48","26176196","2024-07-19","22:02:33","Banks","2024-07-20 22:02:33.169789+05:30"
